"age","failed_runs","CO2_ppm","CO2_0.025","CO2_0.975","O2_ppm","O2_0.025","O2_0.975"
570,85.99,4798.24317703905,1428.46385675928,25574.1929281922,15.2600563497001,9.54299294444462,20.3824254433977
560,85.99,4788.73416685883,1392.44605014839,27750.723575659,14.7261824404474,7.39690166350943,21.7401659637935
550,85.94,5168.44620835219,1434.675232967,29725.2347262086,17.773317940392,10.8150262236843,23.1494280933082
540,84.96,6054.52769217841,1581.06911947135,29941.7076778346,19.3236505276687,12.8237979217349,24.8551019454696
530,85.62,5557.86944182682,1501.57560501732,30997.3316277849,21.4566980323505,12.560636286028,26.4761775094405
520,84.82,4937.68709595061,1373.30979844648,27029.6501628574,21.1698890297494,13.5731037844341,26.379397653264
510,84.71,4129.02871139946,1212.08185216741,21565.5512996189,21.3546335018957,13.3026855954027,26.4849991618878
500,85.24,3353.11437294141,1080.79394006121,17049.9165504581,19.7089370473002,11.559014401009,25.2482365569507
490,85.41,2894.11015536561,973.686758022789,14496.0272735746,19.9214754947756,12.3622706662498,25.2288419278818
480,83.87,2747.6464122043,929.756044756615,13631.2722061999,17.3284414664334,10.6367287861381,22.503791355485
470,84.05,2487.76847068721,877.894769104514,11859.6824078569,15.5293555715009,8.25518833298017,21.3651986074327
460,84.5,2157.24082968595,757.975599526756,10100.9674512173,19.7372648618099,13.2769410600642,25.995535772308
450,83.41,2279.34087080113,809.187018952129,10516.8673098167,18.7460015174698,13.1956468285792,23.7470617132022
440,83.31,2332.29583343818,813.74784555247,11270.1281109242,22.666854586275,16.7531660619636,29.1684746778964
430,83.14,1761.32797020546,659.17953926755,7994.38847201493,24.7332906801316,18.6426532011182,32.6374349375191
420,83.31,2275.52833193323,800.849796629167,11277.0469124705,25.7777355286456,19.2626089814862,33.3299821377215
410,84.33,2234.76699450491,804.579785703772,11384.0812141932,27.3899793494931,20.6073101283481,35.4051461272625
400,83.07,2393.78271803032,837.581639347068,9627.502990858,17.6229927725123,9.36539741623292,26.2056246577519
390,83.16,1321.46983691163,507.491162473893,5752.99583162676,21.7077729829008,14.657437002408,30.1249569730313
380,82.76,1472.95445265436,613.896130670411,6343.66838061158,18.240168017706,11.3832582675898,24.3637295666582
370,82.66,987.311020167036,429.344099615433,3496.29087557591,16.27120465307,9.42766474656753,21.4691792568399
360,82.7,731.226761473455,284.838191026997,3602.17115661745,18.4888822789075,10.2349867943764,25.4006408400926
350,85.64,377.921513826908,158.606420976826,4322.75283327778,23.7897364281396,14.8955922247338,32.1785317703994
340,85.64,373.053523741964,161.620334595294,2937.46754255452,23.7503207093507,14.3935647905159,33.4944025198621
330,84.55,318.143819467076,173.217587804925,1000.1975433792,21.5130685014951,11.993208976864,32.411970419606
320,84.81,338.168977306555,186.541506829246,1148.06883467139,22.6597876876327,12.8912559251329,32.9086527164204
310,86.51,345.977393914462,190.262394406875,1246.10247754274,26.1447452935551,16.1857245869415,38.4983701811703
300,86.56,342.604172243541,185.285886257615,1265.58636381679,29.752724523523,19.4467384733084,43.4388572360331
290,86.28,391.870651255357,196.257384888663,1607.71011885335,32.2181451937157,20.822537086547,45.1686675451772
280,83.81,380.709800541115,195.75053445461,1535.19191395252,32.2555927430863,21.38106103478,44.5208843625048
270,83.2,337.225639284615,184.034556143593,1045.40880264783,32.7563539177473,22.7804508183588,43.8776546326017
260,82.8,379.47309398712,206.62087128693,1373.70248293765,31.0085664989036,22.3443175063051,42.1914572160698
250,83.11,1248.2679979131,418.644357136202,17321.273155016,22.3524116819911,12.8949095989566,34.5093614088666
240,83.16,1123.30531585776,377.009071733517,17724.559083144,20.1612172823509,13.4126044115715,28.9439508529154
230,83.07,1099.94979154483,359.64795093608,16021.8221278827,22.1413611778418,18.1595243904064,28.4772492262631
220,82.96,801.662859439671,270.947252274938,11993.8733111255,26.2726746484531,22.2078158500356,31.855730412898
210,82.75,700.080814138316,253.930412616959,8172.34801209627,23.6682686044608,18.7746257091743,29.5768326974624
200,82.85,402.358644447165,181.623250442778,2841.06570942242,19.1224031151864,13.2333277945618,25.0011708820332
190,83.49,447.808520572152,195.034656173086,4041.7339290678,12.744290276976,6.42562195728404,19.1981947886801
180,84.19,358.901953728552,169.581307470393,2112.13166482603,13.828612374512,7.39151071739865,21.0875082261269
170,84.59,297.425211473128,159.311722170219,1848.78943276368,14.9496797973786,9.21888233453571,22.7280205589947
160,84.36,316.696274406198,161.911861059041,1819.07799412679,16.26443439312,10.9046920939953,21.874515883928
150,83.74,337.413987962792,167.424313203909,1747.88867514974,16.4172036645462,10.5428304960989,22.6399846138387
140,82.92,400.0119178586,182.11148238611,2581.54263487436,14.283655429901,8.05587195069265,19.4427051740979
